species,CA1,CA2,CA3,CA4,CA5
Dacryodes osika,0.5069045096525415,0.05022358830268743,-0.1696073245822432,-0.0698847265803487,0.7785443970269403
Diospyros crassiflora,0.2322893357271808,0.2710574491415524,-0.2566219522823648,-0.19890418554938483,0.485699285688893
Microdesmis yafungana,0.2472249478127893,0.33242731778861456,-0.239761135408625,-0.2949177084955727,0.7425898185876922
Omphalocarpum lecomteanum,0.3597251561379992,0.3767532882457972,-0.37931969143275723,-0.24067959063016459,0.8781271331446787
Synsepalum sp.,0.30153958566409483,0.5282691100296307,-0.6000282567874712,-0.49479313876004505,1.5381118250435175
Xylopia phloiodora,0.26737522239315037,0.3694658018679195,-0.32684651647246843,-0.333749347794475,0.9714722362093952
sp.2 NA,0.30153958566409483,0.5282691100296307,-0.6000282567874712,-0.49479313876004505,1.5381118250435175
Aphanocalyx microphyllus,-0.10040224125249972,0.6786913829621563,-0.38253504863682575,-0.07134991059061499,0.6106250790420312
Aphanocalyx sp.,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
Balanites wilsoniana,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
Celtis sp.,0.6459309007137484,-0.23711167027285746,-0.007929484504625247,-0.29594868393819,0.393557251109838
Chrysophyllum africanum,0.20419128932025551,0.05409557638903512,-0.17447334069278556,-0.39903356811503055,0.30055698499991923
Chytranthus carneus,0.19046715526971522,0.4355723015138262,-0.38698653027152496,-0.2653789305901872,0.7067596780367456
Cola sp.,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
Combretum lokele,0.38354819716133964,0.2071226130569001,-0.23612010238562922,-0.20307161623307224,0.8486146123185947
Copaifera mildbraedii,0.2156982261668617,0.299012140828139,-0.33934846142332753,-0.3628594276215855,0.8677061720608032
Craterispermum sp.,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
Drypetes cf.,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
Drypetes leonensis,0.2986539040111625,0.35253497954250107,-0.3291183634541591,-0.3314202846625925,1.027208334107808
Drypetes louisii,0.15334795079476926,0.19624018579487784,-0.38422989590515483,-0.34818969820116863,0.8585949030891127
Gomphia mildbraedii,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
Monodora louisii,0.11056730244873532,0.09874664430733122,-0.2408169675831663,-0.37867461547784037,0.4743579008574436
Pancovia harmsiana,0.21420921794704628,0.336392217316195,-0.27675123554616304,-0.2533422021432283,0.7559020562695459
Panda oleosa,0.3303370264427448,0.22639848916156172,-0.1869263791825356,-0.32844413955350904,0.47105288417671504
Prioria balsamifera,0.23466728180216553,0.15513909993099656,-0.17732145438721833,-0.3030374253109996,0.5951522718060048
Prioria sp.,0.3468531841786963,0.4519443913450449,-0.5120784198438794,-0.43166561445959184,1.4261487797670762
