respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;50;7;114;;;;;;
WD.BA;proportion;50;7;115;;;;;;
WD.BA;proportion;50;7;116;;;;;;
WD.BA;proportion;50;7;117;;;;;;
WD.BA;proportion;50;7;118;;;;;;
WD.BA;proportion;50;7;119;;;;;;
WD.BA;proportion;50;7;120;;;;;;
WD.BA;proportion;50;8;1;;;;;;
WD.BA;proportion;50;8;2;;;;;;
WD.BA;proportion;50;8;3;;;;;;
WD.BA;proportion;50;8;4;;;;;;
WD.BA;proportion;50;8;5;;;;;;
WD.BA;proportion;50;8;6;;;;;;
WD.BA;proportion;50;8;7;;;;;;
WD.BA;proportion;50;8;8;;;;;;
WD.BA;proportion;50;8;9;;;;;;
WD.BA;proportion;50;8;10;;;;;;
WD.BA;proportion;50;8;11;;;;;;
WD.BA;proportion;50;8;12;;;;;;
WD.BA;proportion;50;8;13;;;;;;
WD.BA;proportion;50;8;14;;;;;;
WD.BA;proportion;50;8;15;;;;;;
WD.BA;proportion;50;8;16;;;;;;
WD.BA;proportion;50;8;17;;;;;;
WD.BA;proportion;50;8;18;;;;;;
WD.BA;proportion;50;8;19;;;;;;
WD.BA;proportion;50;8;20;;;;;;
WD.BA;proportion;50;8;21;;;;;;
WD.BA;proportion;50;8;22;;;;;;
WD.BA;proportion;50;8;23;;;;;;
WD.BA;proportion;50;8;24;;;;;;
WD.BA;proportion;50;8;25;;;;;;
WD.BA;proportion;50;8;26;;;;;;
WD.BA;proportion;50;8;27;;;;;;
WD.BA;proportion;50;8;28;;;;;;
WD.BA;proportion;50;8;29;;;;;;
WD.BA;proportion;50;8;30;;;;;;
WD.BA;proportion;50;8;31;;;;;;
WD.BA;proportion;50;8;32;;;;;;
WD.BA;proportion;50;8;33;;;;;;
WD.BA;proportion;50;8;34;;;;;;
WD.BA;proportion;50;8;35;;;;;;
WD.BA;proportion;50;8;36;;;;;;
WD.BA;proportion;50;8;37;;;;;;
WD.BA;proportion;50;8;38;;;;;;
WD.BA;proportion;50;8;39;;;;;;
WD.BA;proportion;50;8;40;;;;;;
WD.BA;proportion;50;8;41;;;;;;
WD.BA;proportion;50;8;42;;;;;;
WD.BA;proportion;50;8;43;;;;;;
WD.BA;proportion;50;8;44;;;;;;
WD.BA;proportion;50;8;45;;;;;;
WD.BA;proportion;50;8;46;;;;;;
WD.BA;proportion;50;8;47;;;;;;
WD.BA;proportion;50;8;48;;;;;;
WD.BA;proportion;50;8;49;;;;;;
WD.BA;proportion;50;8;50;;;;;;
WD.BA;proportion;50;8;51;;;;;;
WD.BA;proportion;50;8;52;;;;;;
WD.BA;proportion;50;8;53;;;;;;
WD.BA;proportion;50;8;54;;;;;;
WD.BA;proportion;50;8;55;;;;;;
WD.BA;proportion;50;8;56;;;;;;
WD.BA;proportion;50;8;57;;;;;;
WD.BA;proportion;50;8;58;;;;;;
WD.BA;proportion;50;8;59;;;;;;
WD.BA;proportion;50;8;60;;;;;;
WD.BA;proportion;50;8;61;;;;;;
WD.BA;proportion;50;8;62;;;;;;
WD.BA;proportion;50;8;63;;;;;;
WD.BA;proportion;50;8;64;;;;;;
WD.BA;proportion;50;8;65;;;;;;
WD.BA;proportion;50;8;66;;;;;;
WD.BA;proportion;50;8;67;;;;;;
WD.BA;proportion;50;8;68;;;;;;
WD.BA;proportion;50;8;69;;;;;;
WD.BA;proportion;50;8;70;;;;;;
WD.BA;proportion;50;8;71;;;;;;
WD.BA;proportion;50;8;72;;;;;;
WD.BA;proportion;50;8;73;;;;;;
WD.BA;proportion;50;8;74;;;;;;
WD.BA;proportion;50;8;75;;;;;;
WD.BA;proportion;50;8;76;;;;;;
WD.BA;proportion;50;8;77;;;;;;
WD.BA;proportion;50;8;78;;;;;;
WD.BA;proportion;50;8;79;;;;;;
WD.BA;proportion;50;8;80;;;;;;
WD.BA;proportion;50;8;81;;;;;;
WD.BA;proportion;50;8;82;;;;;;
WD.BA;proportion;50;8;83;;;;;;
WD.BA;proportion;50;8;84;;;;;;
WD.BA;proportion;50;8;85;;;;;;
WD.BA;proportion;50;8;86;;;;;;
WD.BA;proportion;50;8;87;;;;;;
WD.BA;proportion;50;8;88;;;;;;
WD.BA;proportion;50;8;89;;;;;;
WD.BA;proportion;50;8;90;;;;;;
WD.BA;proportion;50;8;91;;;;;;
WD.BA;proportion;50;8;92;;;;;;
WD.BA;proportion;50;8;93;;;;;;
WD.BA;proportion;50;8;94;;;;;;
WD.BA;proportion;50;8;95;;;;;;
WD.BA;proportion;50;8;96;;;;;;
WD.BA;proportion;50;8;97;;;;;;
WD.BA;proportion;50;8;98;;;;;;
WD.BA;proportion;50;8;99;;;;;;
WD.BA;proportion;50;8;100;;;;;;
WD.BA;proportion;50;8;101;;;;;;
WD.BA;proportion;50;8;102;;;;;;
WD.BA;proportion;50;8;103;;;;;;
WD.BA;proportion;50;8;104;;;;;;
WD.BA;proportion;50;8;105;;;;;;
WD.BA;proportion;50;8;106;;;;;;
WD.BA;proportion;50;8;107;;;;;;
WD.BA;proportion;50;8;108;;;;;;
WD.BA;proportion;50;8;109;;;;;;
WD.BA;proportion;50;8;110;;;;;;
WD.BA;proportion;50;8;111;;;;;;
WD.BA;proportion;50;8;112;;;;;;
WD.BA;proportion;50;8;113;;;;;;
WD.BA;proportion;50;8;114;;;;;;
WD.BA;proportion;50;8;115;;;;;;
WD.BA;proportion;50;8;116;;;;;;
WD.BA;proportion;50;8;117;;;;;;
WD.BA;proportion;50;8;118;;;;;;
WD.BA;proportion;50;8;119;;;;;;
WD.BA;proportion;50;8;120;;;;;;
WD.BA;proportion;50;9;1;;;;;;
WD.BA;proportion;50;9;2;;;;;;
WD.BA;proportion;50;9;3;;;;;;
WD.BA;proportion;50;9;4;;;;;;
WD.BA;proportion;50;9;5;;;;;;
WD.BA;proportion;50;9;6;;;;;;
WD.BA;proportion;50;9;7;;;;;;
WD.BA;proportion;50;9;8;;;;;;
WD.BA;proportion;50;9;9;;;;;;
WD.BA;proportion;50;9;10;;;;;;
WD.BA;proportion;50;9;11;;;;;;
WD.BA;proportion;50;9;12;;;;;;
WD.BA;proportion;50;9;13;;;;;;
WD.BA;proportion;50;9;14;;;;;;
WD.BA;proportion;50;9;15;;;;;;
WD.BA;proportion;50;9;16;;;;;;
WD.BA;proportion;50;9;17;;;;;;
WD.BA;proportion;50;9;18;;;;;;
WD.BA;proportion;50;9;19;;;;;;
WD.BA;proportion;50;9;20;;;;;;
WD.BA;proportion;50;9;21;;;;;;
WD.BA;proportion;50;9;22;;;;;;
