Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile;MAB08h;3,20512820512821;ind.rel;3
héliophile non pionnière;MAB08h;9,93589743589744;ind.rel;3
tolérante à l'ombrage;MAB08h;86,8589743589744;ind.rel;3
héliophile;MAB09h;4,76190476190476;ind.rel;3
héliophile non pionnière;MAB09h;19,3650793650794;ind.rel;3
tolérante à l'ombrage;MAB09h;75,8730158730159;ind.rel;3
héliophile;MAB10h;7,25075528700906;ind.rel;3
héliophile non pionnière;MAB10h;16,3141993957704;ind.rel;3
tolérante à l'ombrage;MAB10h;76,4350453172206;ind.rel;3
héliophile;MAB11h;2,12014134275618;ind.rel;3
héliophile non pionnière;MAB11h;31,8021201413428;ind.rel;3
tolérante à l'ombrage;MAB11h;66,0777385159011;ind.rel;3
héliophile;MAB12h;32,2097378277154;ind.rel;3
héliophile non pionnière;MAB12h;14,2322097378277;ind.rel;3
tolérante à l'ombrage;MAB12h;53,5580524344569;ind.rel;3
héliophile;MIX-L6A;0,932400932400932;ind.rel;3
héliophile non pionnière;MIX-L6A;22,6107226107226;ind.rel;3
tolérante à l'ombrage;MIX-L6A;76,4568764568765;ind.rel;3
héliophile;MIX-L7A;6,69642857142857;ind.rel;3
héliophile non pionnière;MIX-L7A;6,02678571428571;ind.rel;3
tolérante à l'ombrage;MIX-L7A;87,2767857142857;ind.rel;3
héliophile;MIX2;1,46788990825688;ind.rel;3
héliophile non pionnière;MIX2;20,1834862385321;ind.rel;3
tolérante à l'ombrage;MIX2;78,348623853211;ind.rel;3
héliophile;MIX6;6,9620253164557;ind.rel;3
héliophile non pionnière;MIX6;21,2025316455696;ind.rel;3
tolérante à l'ombrage;MIX6;71,8354430379747;ind.rel;3
héliophile;Model_OR_lidar_87_Principal;19,1044776119403;ind.rel;3
héliophile non pionnière;Model_OR_lidar_87_Principal;22,9850746268657;ind.rel;3
tolérante à l'ombrage;Model_OR_lidar_87_Principal;57,910447761194;ind.rel;3
héliophile;Modele_2406_Principal;9,23482849604222;ind.rel;3
